二氧化硅(SiO2),氧化钠(Na2O),氧化钙(CaO),氧化铝(Al2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),二氧化硫(SO2)
36.28,0,2.34,5.73,0.26,47.43,0,3.57,0
20.14,0,1.48,1.34,10.41,28.68,31.23,3.59,2.58
4.61,0,3.19,1.11,3.14,32.45,30.62,7.56,15.03
33.59,0,3.51,2.69,4.93,25.39,14.61,9.38,0
29.64,0,2.93,3.57,3.51,42.82,5.35,8.83,0
37.36,0,0,5.45,4.78,9.3,23.55,5.75,0
53.79,7.92,0.5,1.42,2.99,16.98,11.86,0,0
31.94,0,0.47,1.59,8.46,29.14,26.23,0.14,0
50.61,2.31,0.63,1.9,1.12,31.9,6.65,0.19,0
19.79,0,1.44,0.7,10.57,29.53,32.25,3.13,1.96
3.72,0,3.01,1.18,3.6,29.92,35.45,6.04,15.95
68.08,0,1.34,4.7,0.33,17.14,4.04,1.04,0
63.3,0.92,2.98,14.34,0.74,12.31,2.03,0.41,0
34.34,0,4.49,4.35,0,39.22,10.29,0,0
36.93,0,4.24,3.86,0,37.74,10.35,1.41,0
65.91,0,1.6,3.11,0.44,16.55,3.42,1.62,0
69.71,0,0.46,2.36,0.11,19.76,4.88,0.17,0
75.51,0,0.64,2.35,0.47,16.16,3.55,0.13,0
35.78,0,0.78,1.62,1.51,46.55,10,0.34,0
65.91,0,0.38,1.44,0.16,22.05,5.68,0.42,0
39.57,2.22,0.37,1.6,0.68,41.61,10.83,0.07,0
60.12,0,0.89,2.72,3.01,17.24,10.34,1.46,3.66
32.93,1.38,0.68,2.57,0.73,49.31,9.79,0.48,0
26.25,0,1.11,0.5,0.88,61.03,7.22,1.16,0
16.71,0,1.87,0.45,0,70.21,6.69,1.77,0
18.46,0,4.96,3.33,0.19,44.12,9.76,7.46,0
51.26,5.74,0.79,3.53,2.67,21.88,10.47,0.08,0
51.33,5.68,0,5.66,2.72,20.12,10.88,0,0
12.41,0,5.24,2.25,5.35,59.85,7.29,0,0
21.7,0,6.4,3.41,1.51,44.75,3.26,12.83,0
60.74,3.06,2.14,12.69,0.43,13.61,5.22,0,0
61.28,2.66,0.84,5,0.53,15.99,10.96,0,0
55.21,0,0,4.79,0.77,25.25,10.06,0.2,0
51.54,4.66,0.87,3.06,0.65,25.4,9.23,0.1,0
53.33,0.8,2.82,13.65,0,15.71,7.31,1.1,0
28.79,0,4.58,5.38,0.7,34.18,6.1,11.1,0
54.61,0,2.08,6.5,0.45,23.02,4.19,4.32,0
17.98,0,3.19,1.87,1.13,44,14.2,6.34,0
45.02,0,3.12,4.16,0.7,30.61,6.22,6.34,0
24.61,0,3.58,5.25,1.37,40.24,8.94,8.1,0
21.35,0,5.13,2.51,0.75,51.34,0,8.75,0
25.74,1.22,2.27,1.16,0.7,47.42,8.64,5.71,0
63.66,3.04,0.78,6.06,0.54,13.66,8.99,0,0
22.28,0,3.19,4.15,0.83,55.46,7.04,4.24,0
17.11,0,0,3.65,1.34,58.46,0,14.13,0
49.01,2.71,1.13,1.45,0.86,32.92,7.95,0.35,0
29.15,0,1.21,1.85,0.79,41.25,15.45,2.54,0
25.42,0,1.31,2.18,1.16,45.1,17.3,0,0
30.39,0,3.49,3.52,3.13,39.35,7.66,8.99,0
